Commodity,BS_Month,Month_Name,Unit,Monthly_Min,Monthly_Max,Monthly_Avg,Daily_Records
Mustard Leaf,2,Jestha,kg,30.0,50.0,42.87,32
Mustard Leaf,3,Asar,kg,20.0,60.0,43.15,31
Mustard Leaf,4,Shrawan,kg,30.0,80.0,52.79,32
Mustard Leaf,5,Bhadra,kg,40.0,80.0,59.2,29
Mustard Leaf,6,Ashwin,kg,20.0,60.0,33.86,11
Neuro,1,Baisakh,kg,70.0,100.0,87.47,31
Neuro,2,Jestha,kg,70.0,90.0,76.67,32
Neuro,3,Asar,kg,70.0,110.0,83.0,30
Neuro,4,Shrawan,kg,50.0,100.0,78.19,32
Neuro,5,Bhadra,kg,70.0,100.0,87.47,31
Neuro,6,Ashwin,kg,70.0,100.0,84.55,11
Okara,1,Baisakh,kg,50.0,120.0,81.73,30
Okara,2,Jestha,kg,40.0,90.0,63.75,32
Okara,3,Asar,kg,40.0,120.0,88.81,31
Okara,4,Shrawan,kg,30.0,100.0,48.62,32
Okara,5,Bhadra,kg,25.0,90.0,53.5,30
Okara,6,Ashwin,kg,30.0,70.0,46.0,11
Onion Dry (Chinese),6,Ashwin,kg,55.0,65.0,60.0,3
Onion Dry (Indian),1,Baisakh,kg,30.0,36.0,33.84,31
Onion Dry (Indian),2,Jestha,kg,34.0,60.0,38.86,22
Onion Dry (Indian),3,Asar,kg,34.0,56.0,49.42,27
Onion Dry (Indian),4,Shrawan,kg,45.0,62.0,51.47,31
Onion Dry (Indian),5,Bhadra,kg,60.0,80.0,71.08,29
Onion Dry (Indian),6,Ashwin,kg,64.0,74.0,68.32,11
Onion Green,1,Baisakh,kg,20.0,100.0,57.21,31
Onion Green,2,Jestha,kg,50.0,90.0,70.61,32
Onion Green,3,Asar,kg,60.0,100.0,86.4,31
Onion Green,4,Shrawan,kg,70.0,220.0,92.01,32
Onion Green,5,Bhadra,kg,120.0,220.0,180.35,31
Onion Green,6,Ashwin,kg,80.0,200.0,109.24,11
Orange(Indian),1,Baisakh,kg,140.0,160.0,147.4,25
Orange(Indian),6,Ashwin,kg,140.0,180.0,156.83,10
Orange(Nepali),1,Baisakh,kg,140.0,150.0,145.0,1
Papaya(Indian),1,Baisakh,kg,70.0,100.0,85.36,28
Papaya(Indian),2,Jestha,kg,80.0,120.0,106.04,32
Papaya(Indian),3,Asar,kg,90.0,150.0,111.61,31
